Nummer,Interpret,Titel,Eintritt,Peak,Wochen,Punkte
1,Tom Odell,Another Love,17.02.2013,4,272,17527
2,Lewis Capaldi,Someone You Loved,18.11.2018,3,253,13518
3,The Weeknd,Blinding Lights,08.12.2019,1,206,11749
4,Lady Gaga & Bradley Cooper,Shallow,07.10.2018,1,212,10010
5,Macklemore & Ryan Lewis feat. Ray Dalton,Can't Hold Us,24.03.2013,4,194,9987
6,Lost Frequencies / Calum Scott,Where Are You Now,29.08.2021,2,146,9025
7,Tones And I,Dance Monkey,18.08.2019,1,145,8961
8,Rema,Calm Down,29.05.2022,1,120,8810
9,Glass Animals,Heat Waves,21.02.2021,1,147,8750
10,The Weeknd,Save Your Tears,17.01.2021,3,158,8487
11,Harry Styles,As It Was,10.04.2022,1,121,8435
12,David Guetta & Bebe Rexha,I'm Good (Blue),04.09.2022,1,109,8384
13,Ed Sheeran,Perfect,12.03.2017,1,155,8299
14,Farruko,Pepas,08.08.2021,1,116,8128
15,DJ Ötzi & Nik P.,Ein Stern (... der deinen Namen trägt),18.02.2007,2,118,8109
16,Wham!,Last Christmas,13.01.1985,2,118,7942
17,Ed Sheeran,Shivers,19.09.2021,1,117,7941
18,Elton John & Dua Lipa,Cold Heart,22.08.2021,4,128,7837
19,Ed Sheeran,Shape Of You,15.01.2017,1,122,7807
20,Luis Fonsi feat. Daddy Yankee,Despacito,22.01.2017,1,103,7031
21,Miley Cyrus,Flowers,22.01.2023,1,89,6842
22,DJ Antoine feat. The Beat Shakers,"""Ma chérie""",06.06.2010,2,99,6745
23,Eminem,Mockingbird,08.05.2005,5,111,6740
24,Adele,Rolling In The Deep,30.1.2011,1,98,6724
25,OneRepublic,I Ain't Worried,12.06.2022,6,108,6613
26,John Legend,All Of Me,02.02.2014,1,97,6547
27,Mariah Carey,All I Want For Christmas Is You,31.12.2006,1,85,6328
28,The Black Eyed Peas,I Gotta Feeling,19.07.2009,1,90,6195
29,Nathan Evans,Wellerman,31.01.2021,1,93,6182
30,Coldplay,Viva la vida,20.07.2008,5,132,6180
31,Amy Macdonald,This Is The Life,23.03.2008,2,98,6155
32,Ed Sheeran,Bad Habits,04.07.2021,1,79,6029
33,Shakira feat. Freshlyground,Waka Waka (This Time For Africa),23.05.2010,1,86,6004
34,Guru Josh Project,Infinity 2008,28.9.2008,2,85,6001
35,Adele,Someone Like You,05.06.2011,1,104,5895
36,Klangkarussell,Sonnentanz,26.08.2012,3,87,5893
37,Helene Fischer,Atemlos durch die Nacht,20.10.2013,2,80,5842
38,Shouse,Love Tonight,06.06.2021,2,83,5826
39,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),05.07.2020,1,81,5808
40,Rosa Linn,Snap,03.07.2022,3,81,5803
41,Gossip,Heavy Cross,21.06.2009,2,80,5774
42,Udo Lindenberg & Apache 207,Komet,29.01.2023,2,78,5769
43,Billie Eilish,Bad Guy,07.04.2019,2,86,5668
44,Pharrell Williams,Happy,08.12.2013,1,80,5663
45,Lo & Leduc,79,11.02.2018,1,90,5636
46,Lady Gaga,Poker Face,11.1.2009,1,72,5562
47,Timbaland Presents OneRepublic,Apologize,04.11.2007,1,89,5536
48,Alan Walker,Faded,17.01.2016,1,86,5495
49,SAINt JHN,Roses (Imanbek Remix),22.12.2019,2,86,5485
50,Vance Joy,Riptide,16.03.2014,17,123,5470
51,Passenger,Let Her Go,03.03.2013,1,91,5450
52,Baschi,Bring en hei,28.05.2006,1,100,5356
53,David Guetta feat. Akon,Sexy Bitch,09.08.2009,2,77,5286
54,Amy Winehouse,Rehab,18.03.2007,11,88,5213
55,Major Lazer & DJ Snake feat. MØ,Lean On,29.03.2015,1,65,5158
56,Lilly Wood & The Prick and Robin Schulz,Prayer In C (Robin Schulz Remix),15.6.2014,1,68,5156
57,Regard,Ride It,06.10.2019,2,99,5130
58,Topic feat. A7S,Breaking Me,05.01.2020,4,80,5108
59,Eminem,Lose Yourself,15.12.2002,1,136,5082
60,James Blunt,You're Beautiful,21.08.2005,2,97,5057
61,The Kid Laroi / Justin Bieber,Stay,18.07.2021,2,72,5017
62,Mika,Relax (Take It Easy),04.03.2007,2,75,4969
63,77 Bombay Street,Up In The Sky,24.04.2011,7,82,4955
64,Avicii,Wake Me Up!,30.06.2013,1,69,4900
65,Hozier,Take Me To Church,28.09.2014,1,68,4858
66,Enrique Iglesias feat. Descemer Bueno / Gente De Zona,Bailando,11.05.2014,4,73,4836
67,Ed Sheeran,Thinking Out Loud,02.11.2014,3,72,4835
68,Stromae,Alors on danse,21.2.2010,1,76,4818
69,Dynoro & Gigi D'Agostino,In My Mind,15.7.2018,1,74,4813
70,David Kushner,Daylight,23.04.2023,1,66,4785
71,Lady Gaga,Always Remember Us This Way,14.10.2018,7,77,4764
72,Ed Sheeran,I See Fire,29.12.2013,2,67,4754
73,Lil Nas X,Old Town Road,31.03.2019,1,71,4715
74,Bennett,Vois sur ton chemin,13.08.2023,4,60,4706
75,Juanes,La camisa negra,07.08.2005,1,70,4702
76,Sia,Chandelier,25.05.2014,2,63,4683
77,Unheilig,Geboren um zu leben,28.02.2010,13,84,4678
78,Joel Corry feat. MNEK,Head & Heart,26.07.2020,4,76,4673
79,Scorpions,Wind Of Change,17.02.1991,1,52,4672
80,Ed Sheeran,Photograph,07.06.2015,4,80,4671
81,Nicky Jam & Enrique Iglesias,El perdón,05.04.2015,1,64,4646
82,Duffy,Mercy,02.03.2008,1,65,4641
83,David Guetta feat. Sia,Titanium,21.8.2011,9,77,4634
84,Jay-Z + Alicia Keys,Empire State Of Mind,27.09.2009,4,69,4585
85,Alizée,Moi... Lolita,6.8.2000,11,73,4574
86,Sia,Cheap Thrills,27.12.2015,2,62,4569
87,Rag'n'Bone Man,Human,14.08.2016,1,72,4550
88,Bligg,Rosalie,26.10.2008,5,67,4539
89,Aventura,Obsesión,14.12.2003,1,65,4528
90,K-Maro,Femme Like U (Donne-moi ton corps),04.07.2004,1,59,4521
91,"Bob Sinclar presents Goleo VI feat. Gary ""Nesta"" Pine",Love Generation,11.12.2005,2,78,4500
92,Mark Ronson feat. Bruno Mars,Uptown Funk!,23.11.2014,2,65,4498
93,CKay feat. Joeboy & Kuami Eugene,Love Nwantiti (ah ah ah),29.08.2021,1,67,4466
94,Madonna,Hung Up,20.11.2005,1,99,4462
95,Sam Smith,Stay With Me,18.05.2014,6,62,4448
96,Jason Mraz,I'm Yours,25.05.2008,6,70,4443
97,James Arthur,Impossible,06.01.2013,2,63,4433
98,Lady Gaga feat. Colby O'Donis,Just Dance,10.08.2008,8,56,4404
99,David Guetta feat. Kelly Rowland,When Love Takes Over,10.05.2009,1,55,4389
100,Daft Punk feat. Pharrell Williams,Get Lucky,05.05.2013,1,68,4380